Jackson Citizen Patriot,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
Kalamazoo Gazette,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
Bay City Times,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
Minnesota Business Daily,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Catholic Tribune - Minnesota,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Mobile Courant,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,3
Missouri Business Daily,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
The Modesto Bee,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,76
Modern Alternative Mama,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,53
Modern Healthcare,Least Biased,High,United States,High Credibility,Magazine,Medium Traffic,
Modern Liberals,Left,Mixed,United States,Medium Credibility,,Minimal Traffic,26
Mohave Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,5
Mondoweiss,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,77
Money Talks News,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,
Monroe News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Monroe Review,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Montevideo News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Monterey Herald,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
Monterey Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,4
Montgomery Advertiser,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Montgomery News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Monthly Review,Left,High,United States,High Credibility,Magazine,Minimal Traffic,73
CityNews Montreal,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
Montreal Gazette,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,89
MoonBattery,Questionable Sources,Low,United States,Low Credibility,,Minimal Traffic,66
Moon of Alabama,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,68
Mooresville Tribune,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Morning Brew,Left-Center,High,United States,High Credibility,Website Only,High Traffic,
Morning Consult,Least Biased,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,70
Morning Poll,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
The Morning Star,Left,Mostly Factual,United Kingdom,High Credibility,Website Only,Medium Traffic,67
Morocco World News,Right-Center,Mixed,Morocco,Medium Credibility,Website Only,Medium Traffic,
MoronMajority,Satire,,United States,N/A,Website Only,Minimal Traffic,15
Mother Jones,Left-Center,High,United States,High Credibility,Magazine,High Traffic,91
Mothership,Left-Center,Mixed,Singapore,Medium Credibility,Website Only,High Traffic,0
Moultrie Observer,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Minnesota Public Radio (MPR),Left-Center,High,United States,High Credibility,,Medium Traffic,59
Media Research Center (MRC),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,72
Mississippi Business Daily,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Mississippi Gulf News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Ms. (Magazine),Left,High,United States,High Credibility,Website Only,Medium Traffic,74
MSN.com,Left-Center,High,United States,High Credibility,News Agency,High Traffic,97
MSNBC,Left,Mixed,United States,Medium Credibility,TV Station,High Traffic,95
Mountain Democrat,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,60
MTO News,Questionable Sources,Low,United States,Low Credibility,Website Only,High Traffic,
Montana Standard,Least Biased,High,United States,High Credibility,,Medium Traffic,69
Miuncie Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Middletown Media,Left-Center,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,31
Munising Beacon,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Muscatine Journal,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Muskegon Sun,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
The Muskokan,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Bracebridge Examiner,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Gravenhurst Banner,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Huntsville Forester,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
WWOR - My9 - New Jersey,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
KARD - West Monroe News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KTVE - El Dorado News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WNBW - Gainesville News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,
MyCentralJersey.com,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,59
WFFF - Burlington News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Liberty Courier-Tribune,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
My Daily Freedom,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,47
Point Pleasant Register,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Pomeroy Daily Sentinel,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Gallipolis Daily Tribune,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Dorchester Star,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Kent County News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Kent Island Bay Times,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Centreville Record Observer,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Denton Times-Record,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
WTTE - Columbus News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,
WGHP - Fox8,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,74
KIDY - Fox West Texas,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
Herald/Review Media,Right-Center,High,United States,High Credibility,Website Only,Minimal Traffic,
Willcox Range News,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
KAMR - Amarillo News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KCIT - Amarillo News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WPMI - Mobile News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WPTZ - Plattsburgh News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KRNV - Reno News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
MyNewsLA.com,Least Biased,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,
MyNorthwest,Right-Center,High,United States,High Credibility,Website Only,Medium Traffic,75
Meriden Record-Journal,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
The Brownsville Herald,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,0
The Monitor (Texas),Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,0
My Right American,Questionable Sources,Low,,Low Credibility,,No Data,23
WQRF - Rockford News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WTVO - Rockford News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WWSB - Sarasota,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WETM - MyTwinTiers.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,62
National Association for the Advancement of Colored People (NAACP),Left,High,United States,High Credibility,,Medium Traffic,84
La Nacion (Costa Rica),Right-Center,Mostly Factual,Costa Rica,High Credibility,Newspaper,High Traffic,
Naked Capitalism,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,78
Nanaimo News Bulletin,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Naples Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
National Alliance,Questionable Sources,Very Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,48
Daily Nation,Left-Center,Mixed,Kenya,Medium Credibility,Newspaper,High Traffic,85
The Nation Pakistan,Right-Center,Mixed,Pakistan,Medium Credibility,Newspaper,Medium Traffic,80
National Academy of Sciences (NAS),Pro-Science,Very High,United States,High Credibility,,No Data,34
National Center for Public Policy Research,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,65
National Enquirer,Questionable Sources,Low,United States,Low Credibility,Magazine,High Traffic,82
National File,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,48
National Geographic,Pro-Science,High,United States,High Credibility,Magazine,High Traffic,97
National Insiders,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
National Interest,Right-Center,High,United States,High Credibility,Magazine,Medium Traffic,82
The National Memo,Left,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,63
National Newswatch,Left-Center,Mostly Factual,Canada,High Credibility,Website Only,Medium Traffic,59
National Observer,Left-Center,High,Canada,High Credibility,Website Only,Medium Traffic,60
National Policy Institute,Questionable Sources,Low,United States,Low Credibility,,Minimal Traffic,34
National Post,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,93
NRL News Today,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,40
NationalSecurity.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,36
National Vanguard,Questionable Sources,Very Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,54
National Zero,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,
Nation and State,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
NationMaster,Least Biased,High,Australia,High Credibility,Website Only,Medium Traffic,82
National Monitor,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,38
Natural Awakenings Magazine,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,,No Data,35
NaturalCures.com,Conspiracy-Pseudoscience,Mixed,United Kingdom,Low Credibility,,No Data,52
Natural Health 365,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,72
Naturally Savvy,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,,No Data,60
NaturalMedicine.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,37
Natural News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,89
NaturalNewsBlogs,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,51
Natural News Radio,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,25
NaturalPedia.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,39
Natural Society,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,72
Natural State News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,3
Nature,Pro-Science,Very High,United Kingdom,High Credibility,Magazine,High Traffic,96
Nature Coast Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Naugutuck Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Nautilus Magazine,Pro-Science,High,United States,High Credibility,,Medium Traffic,73
Navy Times,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,57
11 News - KKCO,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WWBT - Richmond News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WMTV News,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
KMTR - NBC16 - Springfield,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WNWO 24 News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WEYI - Saginaw News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WSMH - Flint,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WGBA - Green Bay News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WVIR - Charlottesville,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WCMH - Columbus,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
KNTV - NBC Bay Area,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
WBTS - NBC 10 - Boston,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,
NBC Chicago - WMAQ,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
NBC 5 - Dallas - Fort Worth - KXAS,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
NBC Los Angeles - KNBC,Left-Center,High,United States,High Credibility,TV Station,High Traffic,62
WTVJ - NBC 6 - Miami,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
KECI - Missoula News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KNEP - Scottsbluff News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
NBC News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,85
NBCNewYork.com,Left-Center,High,United States,High Credibility,TV Station,High Traffic,68
NBC 10 Philadelphia - WCAU,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
WRC-TV NBCWashington,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,
National Bureau of Economic Research,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,85
North Central Arkansas News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,4
Civitas Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,56
National Centers for Environmental Information (NCEI),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,89
NC Florida News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Georgia News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Indiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Kansas News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Kentucky News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Massachusetts News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Minnesota News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NC Mississippi News,Questionable Sources,High,United States,Low Credibility,Website Only,Minimal Traffic,
New Castle News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,42
NC Policy Watch,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,61
National Catholic Register,Right,Mixed,United States,Medium Credibility,Newspaper,High Traffic,
National Center for Science (NCSE),Pro-Science,Very High,United States,,,,
National Center for Science (NCSE),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,69
NDTV,Left-Center,Mixed,India,Medium Credibility,TV Station,High Traffic,92
NE Alabama Courant,Questionable Sources,Mixed,United States,Low Credibility,,No Data,6
NE Atlanta News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
KWNB - NTV ABC,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Nebraska Examiner,Left,High,United States,High Credibility,Organization/Foundation,Medium Traffic,
NE Cali News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,4
New England Cable News (NECN),Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,77
NE Colorado News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Connecticut News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Need to Know,Conspiracy-Pseudoscience,Low,United States,Low Credibility,,Minimal Traffic,46
NE Florida News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
NE Indiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Iowa News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
New England Journal of Medicine (NEJM),Pro-Science,Very High,United States,High Credibility,Journal,High Traffic,72
NE Kansas City News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Kansas News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Kentucky News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Louisiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Mississippi News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
NE Missouri News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Neon Nettle,Conspiracy-Pseudoscience,Low,United Kingdom,Low Credibility,Website Only,Medium Traffic,58
NE Sacramento News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,4
NeuroNation,Conspiracy-Pseudoscience,Mixed,Germany,Low Credibility,Website Only,Medium Traffic,0
Neuroscience News,Pro-Science,High,United States,High Credibility,,Medium Traffic,69
NE Valley Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,2
New America,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,83
New American News,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,22
Newark Post,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
New Atlas,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,86
New Bern Sun Journal,Least Biased,High,United States,High Credibility,,Minimal Traffic,52
New Boston Post,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,44
NewFolks,Least Biased,High,United States,High Credibility,,Minimal Traffic,
New Hamburg Independent,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
New Hampshire Bulletin,Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,
New Humanist,Pro-Science,High,United Kingdom,High Credibility,Magazine,Medium Traffic,56
Ayn Rand Institute,Right-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,
New Jersey Monitor,Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,
New Left Review,Left,High,United Kingdom,High Credibility,,Minimal Traffic,60
New Matilda,Left,High,Australia,High Credibility,Website Only,No Data,65
New Mexico Sun,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
New Moderate,Left-Center,Mixed,United States,Medium Credibility,,Minimal Traffic,21
New Nation News,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,44
The New Nationalist,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,
New Politics Magazine,Left,Mixed,United States,Medium Credibility,Magazine,No Data,49
New Republic,Left,High,United States,High Credibility,Website Only,Medium Traffic,88
Willoughby News-Herald,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,52
Longview News-Journal,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,0
Springfield News-Leader,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
News-Medical.net,Pro-Science,Mostly Factual,Australia,High Credibility,Website Only,High Traffic,
Fort Myers News-Press,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
ABS-CBN,Least Biased,High,Philippines,High Credibility,TV Station,High Traffic,86
AmoMama,Least Biased,Mostly Factual,Cyprus,High Credibility,Website Only,High Traffic,45
Xinhua English,Questionable Sources,Mixed,China,Low Credibility,News Agency,High Traffic,
News.com.au,Right-Center,Mostly Factual,Australia,High Credibility,Website Only,High Traffic,95
ERR News (Estonia Public Broadcasting),Least Biased,High,Estonia,High Credibility,TV Station,High Traffic,66
GAB News,Questionable Sources,Low,United States,Low Credibility,Website Only,High Traffic,
Google News,Left-Center,Mostly Factual,United States,High Credibility,Organization/Foundation,High Traffic,0
Grabien News,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,45
Harvard Gazette,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,71
Mongabay,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,72
Sky News UK,Least Biased,High,United Kingdom,High Credibility,TV Station,High Traffic,95
UN News,Left-Center,High,United States,High Credibility,Organization/Foundation,High Traffic,
Yahoo News,Left-Center,High,United States,High Credibility,Website Only,High Traffic,97
Hacker News,Least Biased,Mostly Factual,United States,High Credibility,Website Only,High Traffic,
WTEN - Albany News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WXXA - Fox23,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
News18 - India,Questionable Sources,Mixed,India,Low Credibility,TV Station,High Traffic,
News24 (South Africa),Least Biased,High,South Africa,High Credibility,Website Only,High Traffic,93
KSNV - Las Vegas,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WJXT - News4Jax,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WOAI - San Antonio News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WEWS - News 5 - Cleveland,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WKBT - La Crosse News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KWTV-News9,Least Biased,High,United States,High Credibility,Website Only,High Traffic,56
Lynchburg News and Advance,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
St. Clair News-Aegis,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
NewsAmmo,Questionable Sources,Mixed,United States,Low Credibility,,Minimal Traffic,22
News and Guts,Left-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,43
News and News,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,21
Parkersburg News and Sentinel,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Jeffersonville News and Tribune,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
News Blaze,Questionable Sources,Mixed,Australia,Low Credibility,,No Data,67
News Break,Questionable Sources,Mixed,United States,Low Credibility,Website Only,High Traffic,45
Newsbusters,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,79
NewsCenterMaine.com,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,54
KFDA - Amarillo News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WICD - Champaign News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WICS - Springfield News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WTVF - NewsChannel5,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,60
KAUZ - Wichita Falls News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WTVC - ABC Chattanooga,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Winter Haven News Chief,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
New Scientist,Pro-Science,Very High,United Kingdom,High Credibility,Magazine,High Traffic,95
News Corpse,Left,Mixed,United States,Medium Credibility,,Minimal Traffic,40
Newser,Left-Center,High,United States,High Credibility,Website Only,High Traffic,87
Connersville News Examiner,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
News Facts Network (NFN),Least Biased,Very High,United States,High Credibility,Website Only,Minimal Traffic,9
News Global,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,
Newsguard,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,63
News Heist,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,No Data,14
Panama City News-Herald,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
News Hour First,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
News Inside Out,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,42
The News Literacy Project,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,60
News Lookup,Least Biased,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,56
Newsmax,Questionable Sources,Low,United States,Low Credibility,TV Station,High Traffic,74
News Mutiny,Satire,,Unknown or Invalid Region,N/A,,No Data,30
NewsNation,Least Biased,High,United States,High Credibility,TV Station,High Traffic,39
NewsNow UK,Least Biased,Mixed,United Kingdom,Medium Credibility,,High Traffic,55
KOTV - Newson6,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
NewsOne,Left,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,75
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
NewsPageIndex.com,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,
Santa Barbara News-Press,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,0
KCJO - St. Jospeph News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KNPN - News-Press Now,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
St. Joseph News-Press,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
News Punch,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Medium Traffic,52
News Pushed,Questionable Sources,Low,United Kingdom,Low Credibility,Website Only,Minimal Traffic,0
NewsReady,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,0
News Rescue,Questionable Sources,Mixed,Nigeria,Low Credibility,Website Only,Medium Traffic,55
News Sloth,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,
New Statesman,Left,High,United States,High Credibility,Magazine,Medium Traffic,84
The News-Times (Danbury),Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,78
Newsview,Questionable Sources,Very Low,Greece,Low Credibility,Website Only,Medium Traffic,
The News Virginian,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
NewsWars,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,49
Newsweek,Right-Center,Mostly Factual,United States,High Credibility,Magazine,High Traffic,82
KWES - Midland News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
News with Views,Questionable Sources,Low,United States,Low Credibility,,Minimal Traffic,70
CBS New York,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
New Yorker,Left,High,United States,High Credibility,Magazine,High Traffic,96
NewzJunky.com,Least Biased,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,0
Next Avenue,Least Biased,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,
Next Big Future,Pro-Science,High,United States,High Credibility,Website Only,Medium Traffic,77
Next News Network,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,44
National Federation of Republican Women (NFRW),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,38
NGO Monitor,Right,Mixed,Israel,Medium Credibility,Organization/Foundation,Minimal Traffic,
NHK-Nippon Hoso Kyokai,Right-Center,High,Japan,High Credibility,TV Station,High Traffic,69
NHK World-Japan,Left-Center,High,Japan,High Credibility,,No Data,49
New Haven Register,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,60
Niagara Gazette,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Niagara Falls Review,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,
Niagara This Week,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Fort Erie Post,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Nieman Journalism Lab,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,
Nine.com.au,Right-Center,High,Australia,High Credibility,Website Only,High Traffic,
